Agent Name, Action, Time in Act (In Seconds)
Agent - -520990 ,reproduce ,0
Agent - -521692 ,walkToHouseToSleep ,11.16755
Agent - -522204 , ,0
Agent - -520146 ,walkToHomeToReproduce ,2.093257
Agent - -521078 ,wander ,2.352885
Agent - -520146 ,sleep ,0
Agent - -520620 ,walkToHomeToReproduce ,3.994592
Agent - -521078 ,sleep ,0
Agent - -520620 ,sleep ,0
Agent - -521106 ,walkToStoneResource ,5.232956
Agent - -521692 ,walkToWater ,2.940684
Agent - -521134 ,walkToStoneResource ,5.146477
Agent - -521692 ,getWater ,0
Agent - -520146 ,walkToHomeToReproduce ,2.285798
Agent - -521078 ,wander ,2.285798
Agent - -520146 ,sleep ,0
Agent - -521078 ,sleep ,0
Agent - -520620 ,walkToHomeToReproduce ,3.003555
Agent - -520620 ,sleep ,0
Agent - -521050 ,walkToStoneResource ,5.353798
Agent - -520146 ,walkToHomeToReproduce ,2.075218
Agent - -521078 ,wander ,2.075218
Agent - -520146 ,sleep ,0
Agent - -521078 ,sleep ,0
Agent - -522036 ,walkToWater ,8.457001
Agent - -522036 ,getWater ,0
Agent - -521720 ,wander ,43.48204
