Agent Name, Action, Time in Act (In Seconds)
Agent - -10416582, BreedingAction, 17.92245
Agent - -10416640, BreedingAction, 4.831648
Agent - -10416928, , 0
Agent - -10416640, DepositMaterialAction<WoodWoodStorage>, 3.382215
Agent - -10416582, DepositMaterialAction<WoodWoodStorage>, 3.780053
Agent - -10416640, GatherMaterialAction<WoodTreeResource>, 6.434659
Agent - -10416582, GatherMaterialAction<WoodTreeResource>, 6.733845
Agent - -10416640, DepositMaterialAction<WoodWoodStorage>, 4.592542
Agent - -10416582, DepositMaterialAction<WoodWoodStorage>, 4.584812
Agent - -10416640, GatherMaterialAction<WoodTreeResource>, 6.762501
Agent - -10416582, GatherMaterialAction<WoodTreeResource>, 6.599448
Agent - -10416640, DepositMaterialAction<WoodWoodStorage>, 4.66968
Agent - -10416928, WanderAction (Final),24.89783
Agent - -10416640, GatherMaterialAction<WoodTreeResource> (Final),0
Agent - -10416582, DepositMaterialAction<WoodWoodStorage> (Final),4.298663
