Objective No., Completion Time
1 ,00:00
1 ,00:00
1 ,00:00
1 ,00:00
1 ,00:00
1 ,00:00
1 ,00:00
1 ,00:00
1 ,00:00
1 ,00:00
1 ,00:00
1 ,00:01
1 ,00:01
1 ,00:01
1 ,00:01
1 ,00:01
1 ,00:01
1 ,00:01
1 ,00:01
1 ,00:01
1 ,00:01
1 ,00:01
1 ,00:02
1 ,00:02
1 ,00:02
1 ,00:02
1 ,00:02
1 ,00:02
1 ,00:02
1 ,00:02
1 ,00:02
1 ,00:02
1 ,00:02
1 ,00:03
1 ,00:03
1 ,00:03
1 ,00:03
1 ,00:03
1 ,00:03
1 ,00:03
1 ,00:03
1 ,00:03
1 ,00:03
1 ,00:03
1 ,00:03
1 ,00:04
1 ,00:04
1 ,00:04
1 ,00:04
1 ,00:04
1 ,00:04
1 ,00:04
1 ,00:04
1 ,00:04
1 ,00:04
1 ,00:04
1 ,00:05
1 ,00:05
1 ,00:05
1 ,00:05
1 ,00:05
1 ,00:05
1 ,00:05
1 ,00:05
1 ,00:05
1 ,00:05
1 ,00:05
1 ,00:06
1 ,00:06
1 ,00:06
1 ,00:06
1 ,00:06
1 ,00:06
1 ,00:06
1 ,00:06
1 ,00:06
1 ,00:06
1 ,00:07
1 ,00:07
1 ,00:07
1 ,00:07
1 ,00:07
1 ,00:07
1 ,00:07
1 ,00:07
1 ,00:07
1 ,00:07
1 ,00:07
1 ,00:07
1 ,00:08
1 ,00:08
1 ,00:08
1 ,00:08
1 ,00:08
1 ,00:08
1 ,00:08
1 ,00:08
1 ,00:08
1 ,00:08
1 ,00:08
1 ,00:08
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:09
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:10
1 ,00:11
1 ,00:11
1 ,00:11
1 ,00:11
1 ,00:11
1 ,00:11
1 ,00:11
1 ,00:11
1 ,00:11
1 ,00:11
1 ,00:11
1 ,00:11
1 ,00:12
1 ,00:12
1 ,00:12
